A;B
romance;empatia
romance;habilidade de comunicar
romance;resiliencia
romance;inteligencia emocional
ficcao;empatia
ficcao;habilidade de comunicar
ficcao;resoluto
ficcao;inteligencia emocional
ficcao;autoconhecimento
misterio;critico
misterio;persistencia
misterio;meticuloso
misterio;colaborativo
misterio;criativo
drama;empatia
drama;habilidade de comunicar
drama;inteligencia emocional
drama;resiliencia
drama;autoconhecimento
drama;tomada de decisao
fantasia;criativo
fantasia;resiliencia
fantasia;empatia
fantasia;critico
fantasia;resoluto
