A;B
drama;empatia
drama;habilidade de comunicar
drama;colaborativo
drama;adaptabilidade
drama;resiliencia
drama;criatividade
drama;autentico
drama;autoconhecimento
comedia;criatividade
comedia;colaborativo
comedia;adaptabilidade
comedia;resiliencia
comedia;carisma
aventura;foco
aventura;disciplina
aventura;trabalho em equipe
aventura;coragem
aventura;agil
aventura;adaptabilidade
aventura;habilidade de comunicar
documentario;empatia
documentario;curiosidade
documentario;habilidade de comunicar
documentario;pensamento critico
documentario;etica
documentario;adaptabilidade
documentario;persistencia
reality;empatia
reality;adaptabilidade
reality;negociador
reality;carisma
reality;trabalho em equipe
reality;confiante
reality;habilidade de comunicar
